,theta1,theta2,gp_mean,gp_sd
0,0.0,0.0,[[-0.23773465]],[0.04126115]
1,0.0,1.0,[[-0.25879962]],[0.03964534]
2,0.0,2.0,[[-0.27950979]],[0.03844545]
3,0.0,3.0,[[-0.29963191]],[0.03756039]
4,0.0,4.0,[[-0.31892985]],[0.0368789]
5,0.0,5.0,[[-0.3371739]],[0.0363025]
6,0.0,6.0,[[-0.35415203]],[0.03576245]
7,0.0,7.0,[[-0.36968235]],[0.03522664]
8,0.0,8.0,[[-0.38362542]],[0.03469631]
9,0.0,9.0,[[-0.39589439]],[0.03419405]
10,0.0,10.0,[[-0.40646172]],[0.03374621]
11,0.0,11.0,[[-0.41536064]],[0.03336502]
12,0.0,12.0,[[-0.42268053]],[0.03303722]
13,0.0,13.0,[[-0.42855633]],[0.03272446]
14,0.0,14.0,[[-0.43315378]],[0.03237456]
15,0.0,15.0,[[-0.43665395]],[0.03193761]
16,0.0,16.0,[[-0.4392398]],[0.03137984]
17,0.0,17.0,[[-0.44108638]],[0.03069052]
18,0.0,18.0,[[-0.44235446]],[0.02988062]
19,0.0,19.0,[[-0.44318687]],[0.0289738]
20,0.0,20.0,[[-0.4437068]],[0.02799351]
21,0.0,21.0,[[-0.44401778]],[0.02695255]
22,0.0,22.0,[[-0.44420577]],[0.02585177]
23,0.0,23.0,[[-0.44434281]],[0.02468886]
24,0.0,24.0,[[-0.44449005]],[0.0234689]
25,0.0,25.0,[[-0.44469785]],[0.0222046]
26,0.0,26.0,[[-0.44500197]],[0.02090225]
27,0.0,27.0,[[-0.44541863]],[0.01954672]
28,0.0,28.0,[[-0.44594248]],[0.01810957]
29,0.0,29.0,[[-0.44654854]],[0.01659321]
30,0.0,30.0,[[-0.44719658]],[0.01510596]
31,0.0,31.0,[[-0.44783752]],[0.01394761]
32,0.0,32.0,[[-0.44842114]],[0.01359933]
33,0.0,33.0,[[-0.44887671]],[0.01432106]
34,0.0,34.0,[[-0.44911741]],[0.01583412]
35,0.0,35.0,[[-0.44910794]],[0.01770872]
36,0.0,36.0,[[-0.44885889]],[0.01960463]
37,0.0,37.0,[[-0.44839788]],[0.02129614]
38,0.0,38.0,[[-0.44775538]],[0.0226425]
39,0.0,39.0,[[-0.44696245]],[0.02355968]
40,0.0,40.0,[[-0.44605336]],[0.02400337]
41,0.0,41.0,[[-0.44506908]],[0.02396077]
42,0.0,42.0,[[-0.44405949]],[0.02344724]
43,0.0,43.0,[[-0.44308305]],[0.02250528]
44,0.0,44.0,[[-0.44220299]],[0.02120453]
45,0.0,45.0,[[-0.44147924]],[0.01964273]
46,0.0,46.0,[[-0.44095633]],[0.01794938]
47,0.0,47.0,[[-0.4406498]],[0.01629371]
48,0.0,48.0,[[-0.44053687]],[0.01488351]
49,0.0,49.0,[[-0.44056085]],[0.01389345]
50,0.0,50.0,[[-0.44065522]],[0.01330978]
51,0.0,51.0,[[-0.44076695]],[0.01298422]
52,0.0,52.0,[[-0.44086205]],[0.01287096]
53,0.0,53.0,[[-0.44092019]],[0.01308445]
54,0.0,54.0,[[-0.44093426]],[0.01363288]
55,0.0,55.0,[[-0.44090637]],[0.01426232]
56,0.0,56.0,[[-0.44082769]],[0.01475119]
57,0.0,57.0,[[-0.44067471]],[0.01505009]
58,0.0,58.0,[[-0.44041419]],[0.01528644]
59,0.0,59.0,[[-0.44001219]],[0.01570843]
60,0.0,60.0,[[-0.43945043]],[0.01652334]
61,0.0,61.0,[[-0.43874188]],[0.01771138]
62,0.0,62.0,[[-0.43792402]],[0.01906384]
63,0.0,63.0,[[-0.43704172]],[0.02035294]
64,0.0,64.0,[[-0.4361392]],[0.02141821]
65,0.0,65.0,[[-0.43525835]],[0.02217669]
66,0.0,66.0,[[-0.43443808]],[0.02260947]
67,0.0,67.0,[[-0.43371239]],[0.02274375]
68,0.0,68.0,[[-0.4331069]],[0.02263271]
69,0.0,69.0,[[-0.4326352]],[0.02233326]
70,0.0,70.0,[[-0.43229644]],[0.02188592]
71,0.0,71.0,[[-0.43207563]],[0.02130679]
72,0.0,72.0,[[-0.43194656]],[0.02059739]
73,0.0,73.0,[[-0.43187617]],[0.01976656]
74,0.0,74.0,[[-0.4318286]],[0.01885473]
75,0.0,75.0,[[-0.43176811]],[0.01795418]
76,0.0,76.0,[[-0.43166163]],[0.01721751]
77,0.0,77.0,[[-0.43148365]],[0.01682931]
78,0.0,78.0,[[-0.43122744]],[0.01690045]
79,0.0,79.0,[[-0.43091679]],[0.01734326]
80,0.0,80.0,[[-0.43060026]],[0.01791884]
81,0.0,81.0,[[-0.43033332]],[0.01839452]
82,0.0,82.0,[[-0.4301641]],[0.01862392]
83,0.0,83.0,[[-0.4301239]],[0.01855085]
84,0.0,84.0,[[-0.43022113]],[0.01819136]
85,0.0,85.0,[[-0.43043993]],[0.01761758]
86,0.0,86.0,[[-0.43074349]],[0.01695294]
87,0.0,87.0,[[-0.43108101]],[0.01637977]
88,0.0,88.0,[[-0.43139903]],[0.0161161]
89,0.0,89.0,[[-0.43166132]],[0.01628008]
90,0.0,90.0,[[-0.43186501]],[0.01674669]
91,0.0,91.0,[[-0.43203041]],[0.0172402]
92,0.0,92.0,[[-0.43218204]],[0.01751217]
93,0.0,93.0,[[-0.432338]],[0.01741353]
94,0.0,94.0,[[-0.43250454]],[0.01689315]
95,0.0,95.0,[[-0.43267248]],[0.01597876]
96,0.0,96.0,[[-0.43281519]],[0.01477646]
97,0.0,97.0,[[-0.43288907]],[0.01353599]
98,0.0,98.0,[[-0.43283651]],[0.01280966]
99,0.0,99.0,[[-0.43259283]],[0.01348346]
100,0.0,100.0,[[-0.43212329]],[0.01593434]
101,0.01,0.0,[[-0.23837203]],[0.03968024]
102,0.01,1.0,[[-0.25970166]],[0.03807355]
103,0.01,2.0,[[-0.28068308]],[0.03690249]
104,0.01,3.0,[[-0.30107502]],[0.03605735]
105,0.01,4.0,[[-0.32063235]],[0.03541681]
106,0.01,5.0,[[-0.33911565]],[0.03487418]
107,0.01,6.0,[[-0.35630321]],[0.03435633]
108,0.01,7.0,[[-0.3720045]],[0.03383133]
109,0.01,8.0,[[-0.38607347]],[0.03330454]
110,0.01,9.0,[[-0.3984196]],[0.03280515]
111,0.01,10.0,[[-0.40901516]],[0.03236632]
112,0.01,11.0,[[-0.41789692]],[0.03200444]
113,0.01,12.0,[[-0.42516116]],[0.03170606]
114,0.01,13.0,[[-0.43095193]],[0.03142846]
115,0.01,14.0,[[-0.43544475]],[0.0311131]
116,0.01,15.0,[[-0.43882973]],[0.03070452]
117,0.01,16.0,[[-0.44129721]],[0.03016603]
118,0.01,17.0,[[-0.44302762]],[0.02948756]
119,0.01,18.0,[[-0.44418535]],[0.02868386]
120,0.01,19.0,[[-0.44491525]],[0.02778415]
121,0.01,20.0,[[-0.44534117]],[0.02681674]
122,0.01,21.0,[[-0.44556609]],[0.02579643]
123,0.01,22.0,[[-0.4456747]],[0.02472291]
124,0.01,23.0,[[-0.44573782]],[0.02359214]
125,0.01,24.0,[[-0.44581639]],[0.0224104]
126,0.01,25.0,[[-0.44596184]],[0.02119545]
127,0.01,26.0,[[-0.4462116]],[0.01995835]
128,0.01,27.0,[[-0.44658304]],[0.01868175]
129,0.01,28.0,[[-0.44707088]],[0.01732524]
130,0.01,29.0,[[-0.44764943]],[0.01587313]
131,0.01,30.0,[[-0.44827679]],[0.014416]
132,0.01,31.0,[[-0.4489005]],[0.01324713]
133,0.01,32.0,[[-0.4494675]],[0.01288065]
