,beta0,beta1,value
0,0.0,0.0,-0.33702187068815065
1,0.0,0.01,-0.35011390099328243
2,0.0,0.02,-0.36335485761334074
3,0.0,0.03,-0.37648791162378004
4,0.0,0.04,-0.38956556871286385
5,0.0,0.05,-0.40224464981849534
6,0.0,0.06,-0.4138206519693489
7,0.0,0.07,-0.4259214354056103
8,0.0,0.08,-0.43883977091041887
9,0.0,0.09,-0.45010427299599304
10,0.0,0.1,-0.4611035803820591
11,0.0,0.11,-0.4712159579902929
12,0.0,0.12,-0.4809681961360843
13,0.0,0.13,-0.4914912698067986
14,0.0,0.14,-0.5013893289643051
15,0.0,0.15,-0.5095169418424368
16,0.0,0.16,-0.5177400717592536
17,0.0,0.17,-0.5250169297542435
18,0.0,0.18,-0.5310466565789931
19,0.0,0.19,-0.5366713116855036
20,0.0,0.2,-0.5411477026078945
21,0.0,0.21,-0.5448331950488259
22,0.0,0.22,-0.5478896852577192
23,0.0,0.23,-0.5499733269446296
24,0.0,0.24,-0.5510620005683291
25,0.0,0.25,-0.5514419863162426
26,0.0,0.26,-0.5510049849056025
27,0.0,0.27,-0.5497180590091194
28,0.0,0.28,-0.5472479376614514
29,0.0,0.29,-0.5442744314665973
30,0.0,0.3,-0.5412007781802314
31,0.0,0.31,-0.536907544306508
32,0.0,0.32,-0.5328034265715553
33,0.0,0.33,-0.5277502637440366
34,0.0,0.34,-0.5213787049535424
35,0.0,0.35000000000000003,-0.5138599143212795
36,0.0,0.36,-0.5062203144956852
37,0.0,0.37,-0.49677401460535636
38,0.0,0.38,-0.48700421115704684
39,0.0,0.39,-0.47873755878996155
40,0.0,0.4,-0.4682116612432397
41,0.0,0.41000000000000003,-0.4564698556663976
42,0.0,0.42,-0.44485186582748604
43,0.0,0.43,-0.433284753965071
44,0.0,0.44,-0.4202583802994781
45,0.0,0.45,-0.408771081209017
46,0.0,0.46,-0.395897936852464
47,0.0,0.47000000000000003,-0.3825391532353291
48,0.0,0.48,-0.36792678246968646
49,0.0,0.49,-0.35359306731039314
50,0.0,0.5,-0.33840282088839263
51,0.0,0.51,-0.3246129264461602
52,0.0,0.52,-0.3101752617773097
53,0.0,0.53,-0.29605696126625264
54,0.0,0.54,-0.2821130904269934
55,0.0,0.55,-0.26828308136340856
56,0.0,0.56,-0.25661909000578464
57,0.0,0.5700000000000001,-0.24569507089111559
58,0.0,0.58,-0.2333916885097577
59,0.0,0.59,-0.22244902734917574
60,0.0,0.6,-0.21269739202849472
61,0.0,0.61,-0.20218093026936576
