,beta0,beta1,value
0,0.0,0.0,-0.009855682476520113
1,0.0,0.01,-0.018749512996762023
2,0.0,0.02,-0.028602261831361272
3,0.0,0.03,-0.03827983648132513
4,0.0,0.04,-0.047637941282256985
5,0.0,0.05,-0.0592521319208812
6,0.0,0.06,-0.06762924230568615
7,0.0,0.07,-0.07497247824391871
8,0.0,0.08,-0.0856613406669546
9,0.0,0.09,-0.09426495216330788
10,0.0,0.1,-0.10468827761245447
11,0.0,0.11,-0.11217879118818105
12,0.0,0.12,-0.11925047907516345
13,0.0,0.13,-0.12582242588084716
14,0.0,0.14,-0.1320006328281091
15,0.0,0.15,-0.13798800873011385
16,0.0,0.16,-0.1430197443232606
17,0.0,0.17,-0.14722845350491331
18,0.0,0.18,-0.15237538725654484
19,0.0,0.19,-0.15655103358139014
20,0.0,0.2,-0.16031846688378062
21,0.0,0.21,-0.16304561768501907
22,0.0,0.22,-0.16534944207358537
23,0.0,0.23,-0.16704071140698834
24,0.0,0.24,-0.1679016671673724
25,0.0,0.25,-0.16819849333193745
26,0.0,0.26,-0.16791536185437486
27,0.0,0.27,-0.1667177210961201
28,0.0,0.28,-0.16523579887081938
29,0.0,0.29,-0.1634145719616465
30,0.0,0.3,-0.16067460041596013
31,0.0,0.31,-0.15769615995845512
32,0.0,0.32,-0.15329906322163905
33,0.0,0.33,-0.14893417179322
34,0.0,0.34,-0.143927462647199
35,0.0,0.35000000000000003,-0.13865631813369314
36,0.0,0.36,-0.13257980012162585
37,0.0,0.37,-0.12491320838764407
38,0.0,0.38,-0.11875049908748982
39,0.0,0.39,-0.10996629119833543
40,0.0,0.4,-0.10056641689316513
41,0.0,0.41000000000000003,-0.09163641618952463
42,0.0,0.42,-0.08198790542841698
43,0.0,0.43,-0.07218800858739863
44,0.0,0.44,-0.06374503966932919
45,0.0,0.45,-0.05471778002874382
46,0.0,0.46,-0.045879759704573135
47,0.0,0.47000000000000003,-0.03700820432661431
48,0.0,0.48,-0.027822642534379917
49,0.0,0.49,-0.018268073940354044
50,0.0,0.5,-0.007974311149444423
51,0.0,0.51,0.0034194074453478118
52,0.0,0.52,0.012278260951186443
53,0.0,0.53,0.022546060355714558
54,0.0,0.54,0.03338146968222667
