,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.5684707481662145,0.14113450366466399,0.06447342420723862,0.0694601235655554,0.22470751874248024,0.6976260420518142
1,1,-0.5252406170725764,0.13014862051073225,0.020194053658315007,0.03199221855072736,0.14695663071300627,0.6841209345012009
2,2,-0.5397154466758421,0.13347183495173645,0.06363678268303931,0.06575607487887061,0.09865036052567236,0.75127644135471
3,3,-0.5078793341271834,0.13492986416259856,0.07820144833766006,0.08486998699487092,0.26679656956390824,0.8296832596475046
4,4,-0.47397941485754663,0.08936724675449165,0.008821008289749431,0.01484161645516623,0.3206623829700537,0.8494501421541558
5,5,-0.5248205443387216,0.13601990930769767,0.02658757067633829,0.03773828831484104,0.20960861527502223,0.6862096342618739
6,6,-0.6054308228401546,0.2255087077837494,0.03327422985736584,0.051275795249596065,0.22979921149033128,0.8030424753870751
7,7,-0.38219873216917777,0.2357847019884705,0.14375611209653552,0.14566271584956378,0.1579823187791897,0.70016633335141
8,8,-0.4947282312919238,0.12192359473215791,0.028439860233944424,0.03456013109790484,0.4099905385274417,0.7396358541634745
9,9,-0.3674333697869831,0.19994182845321518,0.1612476627288995,0.16308488341122276,0.28226561378911147,0.6973144670480432
10,10,-0.5441882780566801,0.16436802634337608,0.0398885491452044,0.04867066973650483,0.19108795926210437,0.7007787598500025
11,11,-0.459756501256837,0.09734688852579215,0.03534243040887574,0.03917490925241933,0.25508888583030703,0.8379740066316012
12,12,-0.5389332337271815,0.21817578707782118,0.03965521782007992,0.04528478169142659,0.3088963179823548,0.7553918016847689
13,13,-0.4079500654159113,0.2414350262814567,0.14713119107386338,0.15409637996260078,0.15193570850826846,0.7242102322893466
14,14,-0.454554427334925,0.2326590909763515,0.11965256222785724,0.13051134707307488,0.34957447652055545,0.7068145037373874
15,15,-0.3947579536958558,0.19609830041095427,0.1371758762002261,0.14125426081076117,0.18631789515853306,0.7477041833526413
16,16,-0.4179970907549995,0.11712870283472077,0.05008295129644251,0.055463590535861466,0.3204219236596923,0.8102599042676544
17,17,-0.4326488221173099,0.17401080957224552,0.11839998931577511,0.12405040325125449,0.3231353334700066,0.6249886626354942
