,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.0450579501920493,0.20245012791688752,0.05680195149920313,0.06539767151438902,0.8566551948384525,0.6355670654426229
1,1,-0.0037145614115795364,0.18400580834152028,0.03800360710768091,0.060188752692957516,0.7894422597535666,0.6484004539881788
2,2,-0.0397994671344761,0.1757873908081583,0.052691289145923095,0.0630970656210822,0.13183893911372305,0.9394829657159206
3,3,0.04130922928528102,0.2247469697482648,0.08610217772189564,0.09596218590664812,0.24557854347921143,0.965800739743233
4,4,-0.04232569339015285,0.2009682945390425,0.05523012028324361,0.06410773660150207,0.8826606528552208,0.761142239904004
5,5,-0.016506722835593665,0.1616878036742223,0.03694664846975984,0.05526431223001122,0.15676143548044622,0.9379808529251141
6,6,0.01518990825132859,0.18253149909661304,0.04976559656218432,0.06483802227462963,0.06288249185623064,0.8283676184379588
7,7,0.0007451331065873043,0.2009165309677824,0.06756869815021462,0.0776249664637681,0.1729685058075168,0.9982876195512584
8,8,-0.060716097438765,0.16582775097475203,0.040062603735780154,0.054675868447204005,0.03472119660291307,0.9428384873258538
9,9,0.002582871227556059,0.1609363363131817,0.0328837205702736,0.05659909422899874,0.9013950640498035,0.660596364237054
10,10,0.0049614990005093194,0.1661586579977156,0.0337764453218055,0.05758456511783187,0.8687831919761839,0.7151871323459025
11,11,-0.032005088219158054,0.18826483093874644,0.04980829679221364,0.06044304917237095,0.8497116655826029,0.014948802521428498
12,12,-0.0068402704124041645,0.17345789681120116,0.04859088804254949,0.06089858981786685,0.39435124323917214,0.9248894600608645
13,13,-0.03400164725811552,0.18050849716633352,0.05232561340605883,0.06377762551241278,0.9389313038455477,0.43568853668807594
14,14,-0.003453122976297846,0.18716989010525556,0.038270642246906704,0.06082640848160598,0.7949324098021628,0.30197428432840173
15,15,-0.0365959402385852,0.18292867041140182,0.05629740678244861,0.06621933661874282,0.08163070281947561,0.9090868381117406
16,16,-0.017332009063401693,0.17499519653152562,0.04539648885320259,0.05979826201153062,0.07469047728392277,0.9650608771968351
17,17,-0.06347594893362019,0.2025880515176661,0.0684180984664986,0.07620160204348407,0.6731095607673745,0.5889258961403276
18,18,-0.0479218777496112,0.2118967384617331,0.05866534847796594,0.06739760483389455,0.7752164169168609,0.030193969811878614
19,19,-0.016190148522859563,0.16811199301122792,0.04185631563056111,0.057524792478061776,0.10940827549085899,0.929077123794335
20,20,-0.03153522392464455,0.1683280928118277,0.045136332805212585,0.05804777572894169,0.16422641862051737,0.9040909258827023
21,21,-0.0469976284440742,0.2005790637184157,0.058102830519336846,0.06650141870468283,0.47252342290867777,0.43245458496641687
22,22,-0.0028410557864268983,0.1650206608884387,0.03760045814651297,0.056523705306076255,0.2144344320383756,0.875271993289788
23,23,-0.046360820447494774,0.1901164582748244,0.06020928609484176,0.0702940043497433,0.6685572431204742,0.062240444308430135
24,24,-0.009463814449862575,0.16979378385955318,0.04266699768806396,0.05842220917677366,0.050158094133780154,0.8582744760346364
25,25,-0.0032360161732550114,0.17317720983462637,0.042886208664633566,0.059530089895378085,0.026875547592731593,0.9690283287577233
26,26,-0.006838705890453178,0.1775261525438102,0.048283733265523106,0.06206044385479291,0.035282898338795395,0.8862029889327772
27,27,0.0187621754661281,0.1825261979547509,0.048437730497745454,0.06466496296697766,0.00046512141972432375,0.959033975479731
28,28,0.03435922095554412,0.20219638056233025,0.06503090199770882,0.07767565103992723,0.0949888880536656,0.8940337510345577
29,29,-0.027762055503260365,0.17873703408355454,0.048581266948005915,0.060978730445401925,0.4830806592652793,0.4469969077073508
30,30,-0.03257655020260099,0.18277061028134242,0.05105810528243974,0.06214202283027727,0.9261703985847662,0.29927489449309747
31,31,-0.03829135831741459,0.20269282288940818,0.05278963221975612,0.0622923609578054,0.004756986719305468,0.9492038846372868
32,32,-0.024025840275233756,0.18082132266288312,0.03902647474209859,0.05442006196874844,0.09582179868698895,0.9644938933674132
33,33,-0.024267718984494754,0.17114752488821874,0.030775507050521192,0.05298574694500427,0.19366771958190604,0.8643222497879259
34,34,-0.02677400066059642,0.1619147189217015,0.037451457908025496,0.055111297918928756,0.023161772618503277,0.9385824533666214
35,35,0.0034184557745786,0.19886705937694937,0.06556665583408061,0.07616198709042137,0.026457774104755034,0.8952725296195522
36,36,-0.03426283325869575,0.18911933998323885,0.04269481480209247,0.05571850807622209,0.04352518548089202,0.8982294954867868
37,37,0.006837881674382242,0.17059435230959555,0.03525770975861237,0.05853670428771718,0.5359089372114976,0.49220568433048906
38,38,-0.03798001840343427,0.17690117830981344,0.0523312049456775,0.0629728012656054,0.10529303993526332,0.9402522214677124
39,39,-0.003147132864203477,0.16391891044982373,0.035699278878706484,0.05665023585341152,0.9461349831324533,0.14211269741316115
40,40,-0.015145889886695614,0.20169624278865006,0.06949117086443404,0.0791543634788192,0.030355409256192296,0.9952144972462945
41,41,-0.02212523948468192,0.16358842601744328,0.039456969234310656,0.055929130232087065,0.12464573101042567,0.9573542565723266
42,42,-0.0021104218397201167,0.16268176311678065,0.03209834291924745,0.05558398517998531,0.011566981861062755,0.9985649922696546
43,43,-0.01865332451783558,0.19247875174734333,0.04614275990322132,0.06286686158078295,0.5798983459185307,0.20391897131773712
44,44,-0.020997202025741304,0.19423365735928877,0.06313857147870285,0.07280186289630619,0.05244466563285234,0.8636801147761429
45,45,-0.11006854255601388,0.23414865263305018,0.0963432925015726,0.10534572795666906,0.6352025683406287,0.1957797295669052
46,46,-0.005349950398273749,0.18416182536238396,0.053601514765350584,0.06577127506253176,0.1650312605008785,0.9506653933865565
47,47,-0.047541284629571655,0.19078418971082287,0.05937271887529443,0.06839941507905276,0.27738105582934974,0.16778449113730678
48,48,0.028430645008176363,0.1999285903757716,0.06324004349015609,0.07594832926470854,0.026044074448291495,0.9504913659729062
49,49,-0.02040753442502002,0.16297421761980782,0.03664903794317675,0.05516094342086436,0.054446390614827825,0.8886337724073359
50,50,-0.07642493394022698,0.21703468325399464,0.0755902469891517,0.08310054460540676,0.9327151569329383,0.5391047023591826
51,51,-0.06799213659253647,0.21569928870201865,0.07039269367750768,0.07794716894315139,0.9590013661974229,0.7647273819085397
52,52,-0.014117237663044782,0.17342033195932718,0.041807427917952944,0.058808778876135503,0.7426981805344922,0.5275094573972132
53,53,-0.02846971655707185,0.17394636857792226,0.033287485174852735,0.05314728382184117,0.12189443404780312,0.9964453542235168
54,54,-0.07089907532869938,0.21026836113392108,0.07299259636699587,0.08068466801207982,0.6244077398585823,0.18783018735449958
55,55,0.026898615002618025,0.18340166653819823,0.04844075539428242,0.06547247255969048,0.35378926981629305,0.24573882467529445
56,56,-0.036463900488392056,0.19022617861093225,0.052304636820137834,0.06216595651509716,0.8785611016796577,0.08256753747156333
57,57,0.0030171798224710934,0.1645374061305324,0.03299298868441567,0.05717750038765435,0.6181496148623041,0.5469114445018649
58,58,0.0011870053442980134,0.179711008921147,0.04985135275187651,0.0633308923911335,0.10328008552224135,0.8310771781408373
59,59,-0.004171706781513245,0.16560910190385855,0.03603600018513568,0.056324780204080244,0.9688505373142942,0.07318859946122681
60,60,-0.03452403834184696,0.18415710163639873,0.05214589571602568,0.06307645560573082,0.20445780520382156,0.11893447460269838
61,61,-0.03518358173435581,0.19178113402986516,0.05424604720875553,0.06630183325520131,0.8406665593786833,0.3681422470795512
