,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-1.1594282112120877,0.10982796598814537,0.04297121742725849,0.04784947361937809,0.7826359101882421,0.5741927924832595
1,1,-1.1461321985159494,0.12241604816129459,0.028332332189616383,0.032599467189304815,0.5614435666547793,0.17053591871339205
2,2,-1.1418793106064566,0.11762031663275585,0.030372387837898335,0.03952848906215073,0.538264793836985,0.14667646388525038
3,3,-1.1048891164927097,0.100935692140256,0.026943196368826933,0.03367448187834346,0.4233478059146256,0.4161187762999575
4,4,-1.089025411181882,0.10123935177837595,0.028375460182424244,0.03293300286618517,0.6866523851082087,0.32185553514016324
5,5,-1.124396205367642,0.05473294053809774,0.012601018764876582,0.017471062265597567,0.4651304176634766,0.06772288171572584
6,6,-1.1752106873966557,0.13008484088405303,0.050712961385050326,0.05429284569601673,0.7352839486124702,0.4803114500423912
7,7,-1.097717038915975,0.10524345192419293,0.03511565366135535,0.04186187017839941,0.787036659588441,0.3220678753696182
8,8,-1.1126374150033516,0.1384064401940588,0.016067741605606402,0.022831704041392144,0.5771548975143894,0.17609410999050903
9,9,-1.107536354517529,0.10411803901325811,0.02831370924074505,0.03837528587363773,0.8670413807067391,0.13090668192895652
10,10,-1.1806429840179042,0.17527021824987776,0.07006079923443251,0.0727020095715592,0.8249694721223977,0.6344460545171738
11,11,-1.1241115020940782,0.06001992888011176,0.012486609086896167,0.01732490339025795,0.6181720064379672,0.4407543169673811
12,12,-1.1465288220388725,0.14314816910069417,0.02988108259414044,0.035121731488221244,0.69328135257034,0.4471833841387697
13,13,-1.0862194001414553,0.08974965533661694,0.037168031951186904,0.04108742370357438,0.7134509830688652,0.3666448426165279
14,14,-1.1612841828811626,0.12132366598094962,0.04253996294954567,0.04744522292154055,0.25692522575347426,0.14715654851499574
15,15,-1.0975759889310819,0.06818323993303288,0.027349854859128074,0.030483074949103704,0.6355817075746425,0.0900210931029415
16,16,-1.1237462187699534,0.0636367558075358,0.01144881949256885,0.016720371496227134,0.2786879716158052,0.016571914517909406
17,17,-1.08458737891953,0.10845295635682262,0.047416566889557574,0.05275230309598397,0.4452765061627346,0.24940852167065458
18,18,-1.1774922647658768,0.2009625869725047,0.07275801047577805,0.07882569094419373,0.6976007631088172,0.052321786581814536
19,19,-1.1233759324705586,0.08720171735304882,0.011490219329832779,0.016722135645110003,0.1873391611505885,0.04651070703662231
20,20,-1.0942328112143993,0.13734345218139143,0.047958850078623605,0.058066299556464744,0.5572539235578781,0.022049312919041778
21,21,-1.1362139908512514,0.05910393417015647,0.01867202626885438,0.021238883439337466,0.7587734077908116,0.7012401282711146
22,22,-1.1231319672963411,0.0916721343247584,0.013639674495499672,0.021169879682322347,0.40130317626855194,0.18753925961663725
23,23,-1.157937085275075,0.118593520237121,0.047795594330048555,0.05192241138587377,0.4418040467501252,0.4246443801746701
24,24,-1.1784612523399998,0.11775210155087329,0.06274712584552182,0.06448749107688688,0.3566355060963175,0.11757293177681452
25,25,-1.1160287262333761,0.11782697368872697,0.018032359666795984,0.025235036821821374,0.9005748894717786,0.5678495563644387
26,26,-1.0883598151081946,0.11129466690910061,0.04374598439343618,0.04868610734455708,0.5950531127359592,0.2636247054974728
27,27,-1.1627144870257105,0.0999335305933261,0.045620410212120835,0.04900985877289994,0.1484764262569415,0.09834619325069685
28,28,-1.131280618465816,0.10938615070440583,0.01729970681363644,0.022327080304433176,0.38085705123698976,0.04060816202677709
29,29,-1.0800816240154403,0.1082761777289516,0.04557702576544946,0.04935209300767166,0.953018590541897,0.18928169448838789
30,30,-1.0769622361511204,0.11581302220610667,0.05384075329201658,0.057103831398252716,0.3353456661038117,0.11630196216268188
31,31,-1.0543549111040857,0.18441742448942022,0.07728692862879355,0.08332017512276373,0.37853201585457374,0.21281715611787516
32,32,-1.1266378594160351,0.07979267398431034,0.015040250422448304,0.02005519538935847,0.35303493181175455,0.19349395412440334
33,33,-1.1450409998536464,0.10932766652850734,0.027797463394254752,0.03307896159846037,0.9757843791248071,0.6581026901581849
34,34,-1.109638966238157,0.07032292559475017,0.015220482621990583,0.01853962610600058,0.9292156739634849,0.37208829599469445
35,35,-1.1194198931888069,0.09372423237603289,0.020224358853282748,0.029963938337801872,0.801547137818267,0.39856421360687966
36,36,-1.108128708693384,0.05966159100915114,0.013365383023637193,0.015521956898693854,0.6529319647626095,0.301321383666395
37,37,-1.0836387316151344,0.11086790142852543,0.03507773999249517,0.039316169585020856,0.4218073464331522,0.2216611695112481
38,38,-1.1270839501083108,0.06901018044898644,0.017166670699501122,0.023217517705744407,0.9206548279282936,0.6877037069254565
39,39,-1.1586312121291606,0.1084285980615467,0.043328691753478435,0.0468848158899306,0.38253789862654597,0.15951872618965238
