,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-1.0280500949056586,0.1343752138337676,0.04053799120488627,0.048482026151043876,0.7930850322190811,0.15108253836545085
1,1,-0.9906410057094378,0.12853233316563517,0.017277351517406732,0.024002936010482097,0.26956775682371875,0.23362303950294544
2,2,-0.9983950367873206,0.06665771518828523,0.011676504668960532,0.01688412779826892,0.968297639228057,0.2399951803280463
3,3,-0.9852284865233045,0.0925239136500664,0.020193062994507713,0.02532013967465644,0.9759177970839359,0.7681753194113415
4,4,-1.0108360665174136,0.09260671131343368,0.029934455087298133,0.03611707196758574,0.7823686776530252,0.42062610345729257
5,5,-0.9857066653646396,0.12369399334609166,0.016750256792259683,0.021168463799002078,0.24968470942542803,0.1831483963914642
6,6,-0.9988051119237485,0.09348950526878762,0.013624805214287966,0.01961406441819317,0.7509345667587162,0.6077464148088885
7,7,-1.0134314441056334,0.10304152221484908,0.022562576459306365,0.028114762075604167,0.4144444973604403,0.35538248004495004
8,8,-1.0038973492095413,0.08404734615845139,0.02046754554478473,0.027505784419535915,0.972436205139672,0.14458114694119376
9,9,-1.0073543062911865,0.10914438821204597,0.02674324233053337,0.0360740775794916,0.043858186475732704,0.023569094785751317
10,10,-0.9964019072213112,0.0816331044563815,0.01879009327665988,0.028135183760857836,0.47553209310256783,0.40459123769259453
11,11,-1.0174295664014736,0.09535576453364579,0.017948003686077504,0.02076339140012018,0.13537908492684628,0.1436111407323906
12,12,-1.0367819154226405,0.09851482493826558,0.037404356129614964,0.04046684847660719,0.7065319830980858,0.44662675512853844
13,13,-1.0184857868693413,0.14101969278459647,0.03495556363395445,0.04551060733854108,0.20505735723292967,0.16619726431843554
14,14,-1.0254320825596108,0.05703907008491593,0.020441950210893893,0.023315182049066782,0.7506074902050167,0.0037349355045229746
15,15,-1.0259937233416772,0.12651261012257994,0.033232769152158455,0.03762926340440169,0.3258168953643377,0.03906703592927797
16,16,-1.010317489684125,0.07719176517999915,0.01763405605279168,0.021906303944761216,0.8857751367351522,0.7600386414717081
17,17,-1.0112539214196206,0.10099773010266644,0.018250135666691394,0.022913307047634043,0.9411468773675213,0.23414731784325254
18,18,-0.9600239879745325,0.10330415575994689,0.03433836614912547,0.03966459897756265,0.6522886415945668,0.024154473528030025
19,19,-0.981180174256166,0.15758538408709621,0.020822147349132264,0.026107269279152343,0.6188774770212819,0.2116283007516327
